map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,max_speed,max_lat_acc,global_min_d,global_unsafe_ratio,global_track_rms,global_lat_acc_rms,frenet_usage_pct,fgm_usage_pct,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d_mean,fre_min_d_min,fre_track_rms_calc,ts_last_t,is_success
Spielberg,0.89,2.55,1.73,2.64,2.88,0.59,Opp_bumper_slow_1.csv,MUX_RACING,1765042136,GOAL,77.1,Mux_Spielberg_WS0.89_WT2.55_WC1.73_WCL2.64_WD2.88_DM0.59_Opp_bumper_slow_1.csv_MUX_RACING_1765042136_GOAL_dur_77.10s.csv,GOAL REACHED,77.1,336.45,False,4.7,9.43,0.0,0.17,0.23,1.77,94.9,5.1,0.0,0.54,0.25,0.7159511059867192,0.167844,0.24444963387995905,77.0999,True
hairpin_combo,1.54,2.29,1.55,2.42,2.71,0.56,Opp_bumper_slow_1.csv,MUX_RACING,1765060861,GOAL,59.58,Mux_hairpin_combo_WS1.54_WT2.29_WC1.55_WCL2.42_WD2.71_DM0.56_Opp_bumper_slow_1.csv_MUX_RACING_1765060861_GOAL_dur_59.58s.csv,GOAL REACHED,59.58,253.44,False,4.99,18.36,0.0,0.13,0.39,3.7,86.94,13.06,0.0,0.23,0.3,0.833832763896348,0.0,0.3835250137424036,59.5799,True
Spielberg,1.42,2.33,1.54,2.41,2.72,0.55,Opp_bumper_slow_1.csv,MUX_RACING,1765035337,GOAL,77.0,Mux_Spielberg_WS1.42_WT2.33_WC1.54_WCL2.41_WD2.72_DM0.55_Opp_bumper_slow_1.csv_MUX_RACING_1765035337_GOAL_dur_77.00s.csv,GOAL REACHED,77.0,336.38,False,4.93,9.44,0.0,0.08,0.2,1.78,92.67,7.33,0.0,0.59,0.28,0.7516985414264193,0.242934,0.1921937337990336,76.9999,True
Spielberg,0.77,2.31,1.4,2.33,2.68,0.55,Opp_bumper_slow_1.csv,MUX_RACING,1765030074,GOAL,76.55,Mux_Spielberg_WS0.77_WT2.31_WC1.40_WCL2.33_WD2.68_DM0.55_Opp_bumper_slow_1.csv_MUX_RACING_1765030074_GOAL_dur_76.55s.csv,GOAL REACHED,76.55,336.49,False,4.7,9.22,0.0,0.12,0.18,1.78,92.06,7.94,0.0,0.52,0.23,0.7563848592925441,0.19922,0.1767812623924321,76.5516,True
hairpin_combo,2.18,1.47,0.75,1.15,1.17,0.33,Opp_bumper_slow_1.csv,MUX_RACING,1765052951,CRASH,20.71,Mux_hairpin_combo_WS2.18_WT1.47_WC0.75_WCL1.15_WD1.17_DM0.33_Opp_bumper_slow_1.csv_MUX_RACING_1765052951_CRASH_dur_20.71s.csv,COLLISION DETECTED,20.71,92.09,True,4.7,19.03,0.0,0.15,0.34,3.55,92.6,7.4,0.0,0.3,0.35,0.8743699171494786,0.184314,0.3359860695037437,20.7084,False
Spielberg,0.93,2.51,1.6,2.42,2.74,0.57,Opp_bumper_slow_1.csv,MUX_RACING,1765044299,GOAL,76.23,Mux_Spielberg_WS0.93_WT2.51_WC1.60_WCL2.42_WD2.74_DM0.57_Opp_bumper_slow_1.csv_MUX_RACING_1765044299_GOAL_dur_76.23s.csv,GOAL REACHED,76.23,336.44,False,4.73,9.09,0.0,0.05,0.16,1.78,91.4,8.6,0.0,0.42,0.22,0.7632549960123826,0.216695,0.172729502389907,76.2317,True
hairpin_combo,2.76,1.34,0.86,1.39,1.67,0.44,Opp_bumper_slow_1.csv,MUX_RACING,1765053103,CRASH,25.81,Mux_hairpin_combo_WS2.76_WT1.34_WC0.86_WCL1.39_WD1.67_DM0.44_Opp_bumper_slow_1.csv_MUX_RACING_1765053103_CRASH_dur_25.81s.csv,COLLISION DETECTED,25.81,111.8,True,4.7,24.66,0.0,0.13,0.32,3.98,89.28,10.72,0.0,0.5,0.44,0.8346483005422994,0.0678613,0.30630054309763094,25.8117,False
hairpin_combo,1.47,2.34,1.59,2.47,2.76,0.57,Opp_bumper_slow_1.csv,MUX_RACING,1765058121,CRASH,42.84,Mux_hairpin_combo_WS1.47_WT2.34_WC1.59_WCL2.47_WD2.76_DM0.57_Opp_bumper_slow_1.csv_MUX_RACING_1765058121_CRASH_dur_42.84s.csv,COLLISION DETECTED,42.84,186.54,True,4.99,31.17,0.0,0.1,0.24,4.6,89.75,10.25,0.0,0.33,0.33,0.8301229410886003,0.183696,0.22758373085237876,42.8399,False
Spielberg,2.67,1.66,0.97,1.52,1.88,0.46,Opp_bumper_slow_1.csv,MUX_RACING,1765032149,GOAL,76.46,Mux_Spielberg_WS2.67_WT1.66_WC0.97_WCL1.52_WD1.88_DM0.46_Opp_bumper_slow_1.csv_MUX_RACING_1765032149_GOAL_dur_76.46s.csv,GOAL REACHED,76.46,336.33,False,4.7,9.35,0.0,0.2,0.25,1.79,94.88,5.12,0.0,0.61,0.24,0.6782988201506591,0.180649,0.25719220920869174,76.4599,True
hairpin_combo,1.88,1.74,1.03,1.33,1.53,0.42,Opp_bumper_slow_1.csv,MUX_RACING,1765050544,GOAL,60.95,Mux_hairpin_combo_WS1.88_WT1.74_WC1.03_WCL1.33_WD1.53_DM0.42_Opp_bumper_slow_1.csv_MUX_RACING_1765050544_GOAL_dur_60.95s.csv,GOAL REACHED,60.95,255.68,False,5.01,13.62,0.0,0.17,0.38,3.31,85.98,14.02,0.0,0.45,0.42,0.8103499511713367,0.0,0.3984332370957298,60.9516,True
Spielberg,2.81,1.47,0.91,1.49,1.76,0.46,Opp_bumper_slow_1.csv,MUX_RACING,1765045423,GOAL,76.21,Mux_Spielberg_WS2.81_WT1.47_WC0.91_WCL1.49_WD1.76_DM0.46_Opp_bumper_slow_1.csv_MUX_RACING_1765045423_GOAL_dur_76.21s.csv,GOAL REACHED,76.21,336.59,False,4.7,9.06,0.0,0.21,0.25,1.77,95.13,4.87,0.0,0.65,0.25,0.6867317126961633,0.208272,0.24958362972668321,76.2084,True
Spielberg,1.98,2.17,1.43,2.22,2.5,0.53,Opp_bumper_slow_1.csv,MUX_RACING,1765039216,GOAL,76.2,Mux_Spielberg_WS1.98_WT2.17_WC1.43_WCL2.22_WD2.50_DM0.53_Opp_bumper_slow_1.csv_MUX_RACING_1765039216_GOAL_dur_76.20s.csv,GOAL REACHED,76.2,336.63,False,4.7,9.25,0.0,0.05,0.17,1.77,92.54,7.46,0.0,0.55,0.27,0.7690005899952758,0.206172,0.17874283954904716,76.1999,True
hairpin_combo,1.9337,2.2162,0.9466,1.5956,1.6827,0.187,Opp_bumper_slow_1.csv,MUX_RACING,1765045682,GOAL,60.44,Mux_hairpin_combo_WS1.9337_WT2.2162_WC0.9466_WCL1.5956_WD1.6827_DM0.187_Opp_bumper_slow_1.csv_MUX_RACING_1765045682_GOAL_dur_60.44s.csv,GOAL REACHED,60.44,257.12,False,4.93,16.32,0.0,0.12,0.28,3.42,79.58,20.42,0.0,0.37,0.32,0.8751582760240884,0.0,0.3419630739264632,60.4399,True
