ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
2.23,1.5,0.78,1.18,1.2,0.34,31.711931181074657,12.657142857142857,7,0.0025092142857142856,0.24207927999434212
2.94,1.11,0.69,1.22,1.37,0.39,31.55456744852608,12.76142857142857,7,0.003248244285714286,0.2855740904842029
2.25,1.51,0.79,1.19,1.21,0.34,31.355991562323375,12.741428571428571,7,0.0028446114285714287,0.2897566039902852
2.44,1.46,0.82,1.25,1.33,0.36,31.331225413936732,12.739999999999998,7,0.0031661085714285715,0.2454345026566585
1.38,2.24,1.51,2.37,2.66,0.55,31.22440677692052,13.218571428571428,7,0.00277751,0.2955244291661506
2.18,1.47,0.75,1.15,1.17,0.33,31.192247619220932,12.77,7,0.002245952857142857,0.2874367553593529
1.45,2.32,1.58,2.45,2.75,0.56,31.15739895037687,13.025714285714287,7,0.0027722199999999997,0.25014013475767094
2.68,1.54,0.83,1.25,1.39,0.36,31.10211735015755,12.898571428571428,7,0.0024381628571428574,0.2803012446124961
2.38,1.56,0.84,1.26,1.33,0.36,31.074155345051214,12.561428571428573,7,0.0024053957142857146,0.23384097622358443
2.33,1.52,0.8,1.22,1.34,0.37,31.051599327028004,12.72,7,0.0026471314285714284,0.24120610947997978
1.49,2.57,1.92,2.77,3.09,0.6,30.96648189045931,13.165714285714285,7,0.002304002857142857,0.28114203759636525
1.62,1.51,1.05,1.42,1.67,0.41,30.786040442100187,13.197142857142856,7,0.008028402857142857,0.25211506105992926
2.93,1.12,0.7,1.23,1.36,0.39,30.738761644627637,12.952857142857143,7,0.0025912714285714284,0.23818218205428124
2.44,1.41,0.78,1.18,1.28,0.35,30.639895732007698,12.748571428571427,7,0.002160937142857143,0.26724226744645
0.99,2.18,1.47,2.33,2.63,0.54,30.445655804276356,13.391428571428571,7,0.005454384285714286,0.25460148429093593
2.41,1.42,0.79,1.17,1.3,0.34,30.244265623744234,12.811428571428573,7,0.0015611042857142858,0.25065948403486554
1.91,2.1,1.36,2.13,2.47,0.52,30.075189202232036,13.417142857142858,7,0.00387297,0.24124172104431388
2.73,1.53,0.88,1.45,1.8,0.46,29.94934203715898,13.012857142857143,7,0.0023451914285714287,0.20783145332961703
0.66,2.04,1.31,2.44,2.71,0.56,29.944809563946688,13.372857142857143,7,0.003175228571428571,0.2829801548042922
2.79,1.31,0.83,1.36,1.64,0.43,29.76296727818958,13.098571428571429,7,0.0022803385714285714,0.22031069403825704
2.51,1.49,0.85,1.28,1.36,0.38,29.622916289561037,12.942857142857141,7,0.002356321428571429,0.23657656591308296
0.95,2.05,1.38,2.29,2.55,0.54,29.328640009149925,13.478571428571428,7,0.0032234614285714287,0.30096935885394815
2.41,1.48,0.79,1.28,1.36,0.37,29.24126103963123,12.90857142857143,7,0.0025546014285714284,0.25890935553570177
2.56,1.21,0.92,1.44,1.73,0.43,29.13603679634959,13.277142857142858,7,0.0023510642857142855,0.20840806282653543
0.88,2.53,1.72,2.63,2.87,0.58,29.13400312203496,13.379999999999999,7,0.004466887142857143,0.23599690956516803
1.54,2.29,1.55,2.42,2.71,0.56,28.81043990164492,13.404285714285715,7,0.002386852857142857,0.23991175402967505
1.38,2.4,1.64,2.5,2.78,0.57,28.664029587257808,13.324285714285713,7,0.002819521428571429,0.24917724867960095
2.33,1.53,0.81,1.23,1.36,0.38,28.65863234394237,13.01,7,0.0018539671428571428,0.20856330355795952
2.76,1.55,0.9,1.47,1.82,0.46,28.53893959159453,13.372857142857143,7,0.00276834,0.19793850818891154
0.85,2.45,1.69,2.58,2.81,0.57,28.503509326941856,13.714285714285714,7,0.00187225,0.2915636609980551
0.88,2.21,1.52,2.36,2.64,0.54,28.346356778860134,13.49,7,0.0025405285714285714,0.24196986937685563
2.76,1.34,0.86,1.39,1.67,0.44,28.277384351368458,13.338571428571429,7,0.00218596,0.22109666432983865
