map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,duration_s,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_ratio,frenet_ratio,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET,success_count
playground,2.5,1.24,0.72,1.19,1.25,0.33,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765063491,GOAL,11.34,Mux_playground_WS2.50_WT1.24_WC0.72_WCL1.19_WD1.25_DM0.33_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765063491_GOAL_dur_11.34s.csv,11.34,0.00698183,0.5383244206773619,0.440878173934561,0.00636038,0.19871336669049322,1.5272913805563681,0.2358956276445698,0.7641043723554302,0.23846061825906686,0.2474424916684183,0.7261904761904764,38.477957563848975,39.106688702503575,1
playground,1.93,2.11,1.38,2.15,2.41,0.51,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765089642,GOAL,14.77,Mux_playground_WS1.93_WT2.11_WC1.38_WCL2.15_WD2.41_DM0.51_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765089642_GOAL_dur_14.77s.csv,14.77,0.00333887,0.22942260442260443,0.4352513020428415,0.00160479,0.21354628808044956,1.6162467258998674,0.19144327105334416,0.8085567289466559,0.31392288128827023,0.23156765064360815,0.04563492063492073,23.343649309226535,17.57878316410019,1
playground,1.2886,1.3851,1.0061,1.5466,1.5632,0.2146,Opp_bumper_v_5.csv,MUX_OBSTACLE,1765075886,GOAL,12.87,Mux_playground_WS1.2886_WT1.3851_WC1.0061_WCL1.5466_WD1.5632_DM0.2146_Opp_bumper_v_5.csv_MUX_OBSTACLE_1765075886_GOAL_dur_12.87s.csv,12.87,0.00324687,0.39186991869918697,0.36180299022423745,0.00210018,0.13984610237537637,1.6876910176675752,0.1640194489465154,0.8359805510534846,0.27728662274704924,0.2460104312700764,0.42261904761904784,32.08863502086488,29.89930161747678,1
playground,2.33,1.52,0.8,1.22,1.34,0.37,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765098707,GOAL,13.85,Mux_playground_WS2.33_WT1.52_WC0.80_WCL1.22_WD1.34_DM0.37_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765098707_GOAL_dur_13.85s.csv,13.85,0.00130997,0.5354439091534756,0.47659992068172585,0.0047858,0.16938519447929737,1.58805687114296,0.20121247113163973,0.7987875288683602,0.2298435358832687,0.2487541334808264,0.22817460317460328,22.934285607066908,24.258027438895947,1
playground,0.72,1.77,1.18,2.29,2.64,0.51,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765100848,GOAL,14.94,Mux_playground_WS0.72_WT1.77_WC1.18_WCL2.29_WD2.64_DM0.51_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765100848_GOAL_dur_14.94s.csv,14.94,0.00322937,0.22689317592859198,0.41489087416199283,0.0020375,0.1982032565974172,1.658734738223724,0.3102248394004283,0.6897751605995718,0.3158962220353626,0.23299739557325527,0.011904761904762005,22.469878399618242,16.66696054727073,1
playground,2.76,1.34,0.86,1.39,1.67,0.44,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765072254,GOAL,13.11,Mux_playground_WS2.76_WT1.34_WC0.86_WCL1.39_WD1.67_DM0.44_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765072254_GOAL_dur_13.11s.csv,13.11,0.00464429,0.3484098939929329,0.46142945970418986,0.0022872,0.22769640479360853,1.6343257585621525,0.19579139981701738,0.8042086001829826,0.28302278528008945,0.22745658172720404,0.37500000000000017,31.061594969606265,27.171960720904288,1
playground,2.51,1.49,0.85,1.28,1.36,0.38,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765080200,GOAL,13.31,Mux_playground_WS2.51_WT1.49_WC0.85_WCL1.28_WD1.36_DM0.38_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765080200_GOAL_dur_13.31s.csv,13.31,0.00198435,0.6453715775749674,0.4329215431099485,0.0301754,0.12964169381107493,1.4729039545479938,0.23280264343646742,0.7419645539200961,0.2055055612585835,0.29766661912372405,0.3353174603174603,24.444913097624653,30.896187148184488,1
playground,1.62,2.34,1.63,2.4,2.74,0.57,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765086707,GOAL,12.99,Mux_playground_WS1.62_WT2.34_WC1.63_WCL2.40_WD2.74_DM0.57_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765086707_GOAL_dur_12.99s.csv,12.99,0.00113181,0.5319289005924951,0.4601291494173746,0.00666651,0.1056140350877193,1.620129906874608,0.15240147783251232,0.8475985221674877,0.23171008688926023,0.2651183524864002,0.39880952380952384,28.18399179653393,30.522570388333726,1
playground,1.12,2.38,1.66,2.44,2.8,0.54,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765063662,GOAL,13.55,Mux_playground_WS1.12_WT2.38_WC1.66_WCL2.44_WD2.80_DM0.54_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765063662_GOAL_dur_13.55s.csv,13.55,0.0140883,0.16817807089859851,0.44064919081248505,0.0165722,0.19540581929555895,1.4978326720971922,0.29035113602832696,0.709648863971673,0.34218522813946867,0.2626513813170568,0.2876984126984126,32.58391835071518,27.01654907314635,1
playground,0.7025,1.5402,2.4927,1.6393,1.0657,0.1871,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765050691,GOAL,14.17,Mux_playground_WS0.7025_WT1.5402_WC2.4927_WCL1.6393_WD1.0657_DM0.1871_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765050691_GOAL_dur_14.17s.csv,14.17,0.00337652,0.35085646780862373,0.41210861901976004,0.0307075,0.11458333333333333,1.2984147860026387,0.4674005080440305,0.5325994919559696,0.2843952594906568,0.3146408009998115,0.16468253968253974,24.848144354822168,26.965332260462993,1
