# x, y, yaw_rad, speed_mps, dist_to_wall
-66.594,42.001,-0.801029,7,1.10106
-66.5378,41.943,-0.801165,7,1.0998
-66.4816,41.885,-0.801306,7,1.05487
-66.4255,41.8271,-0.801446,7,1.05487
-66.3694,41.7691,-0.801597,7,1.05487
-66.3133,41.7112,-0.801778,7,1.10106
-66.2572,41.6532,-0.801986,7,1.05487
-66.2011,41.5952,-0.802201,7,1.05487
-66.1451,41.5373,-0.802411,7,1.10106
-66.089,41.4793,-0.802634,7,1.05487
-66.033,41.4214,-0.802896,7,1.10106
-65.9771,41.3634,-0.803195,7,1.10106
-65.9211,41.3054,-0.803503,7,1.05487
-65.8652,41.2475,-0.803801,7,1.05487
-65.8094,41.1895,-0.804113,7,1.05487
-65.7535,41.1316,-0.804474,7,1.10106
-65.6978,41.0736,-0.804885,7,1.05487
-65.642,41.0156,-0.805305,7,1.05487
-65.5863,40.9577,-0.80571,7,1.05487
-65.5307,40.8997,-0.80613,7,1.0661
-65.4751,40.8418,-0.806613,7,1.07733
-65.4195,40.7838,-0.807162,7,1.08857
-65.364,40.7258,-0.80773,7,1.0998
-65.3084,40.6676,-0.808294,7,1.10106
-65.2523,40.609,-0.808901,7,1.10106
-65.1954,40.5493,-0.809606,7,1.10106
-65.1367,40.4877,-0.810391,7,1.10106
-65.0756,40.4235,-0.811203,7,1.10106
-65.0121,40.3566,-0.812043,7,1.10106
-64.9467,40.2876,-0.812962,7,1.10106
-64.8799,40.217,-0.813973,7,1.10106
-64.8123,40.1455,-0.815044,7,1.05487
-64.7445,40.0735,-0.816169,7,1.05487
-64.6765,40.0012,-0.817389,7,1.10106
-64.6086,39.9288,-0.818707,7,1.10106
-64.5409,39.8564,-0.820076,7,1.05487
-64.4733,39.784,-0.821488,7,1.05487
-64.4059,39.7115,-0.822995,7,1.05487
-64.3387,39.6391,-0.824607,7,1.05487
-64.2717,39.5666,-0.826268,7,1.05487
-64.205,39.4942,-0.827967,7,1.05487
-64.1384,39.4217,-0.829766,7,1.05487
-64.0722,39.3493,-0.831677,7,1.05487
-64.0061,39.2768,-0.833633,7,1.03115
-63.9403,39.2044,-0.835618,7,1.04238
-63.8748,39.1319,-0.837703,7,1.05361
-63.8096,39.0595,-0.839902,7,1.10106
-63.7446,38.987,-0.842139,7,1.05487
-63.68,38.9146,-0.844392,7,1.05487
-63.6156,38.8421,-0.846739,7,1.05487
-63.5515,38.7697,-0.849198,7,1.05487
-63.4878,38.6972,-0.851684,7,1.01991
-63.4244,38.6248,-0.854171,7,1.01991
-63.3612,38.5523,-0.856741,7,1.03115
-63.2985,38.4799,-0.859417,7,1.04238
-63.236,38.4074,-0.862107,7,1.01866
-63.1739,38.335,-0.864781,7,1.05487
-63.1121,38.2625,-0.867525,7,1.05487
-63.0507,38.1901,-0.870366,7,1.05487
-62.9896,38.1176,-0.873207,7,1.03115
-62.9289,38.0452,-0.876015,7,1.04238
-62.8685,37.9727,-0.878879,7,1.05361
-62.8085,37.9003,-0.881827,7,1.05487
-62.7488,37.8278,-0.884762,7,1.01991
-62.6895,37.7554,-0.887646,7,1.03115
-62.6305,37.6829,-0.89057,7,1.04238
-62.5719,37.6105,-0.893565,7,1.05361
-62.5137,37.538,-0.896532,7,1.01991
-62.4558,37.4656,-0.899432,7,1.01991
-62.3982,37.3931,-0.902354,7,1.03115
-62.341,37.3207,-0.90533,7,1.04238
-62.2841,37.2482,-0.908264,7,1.01866
-62.2276,37.1758,-0.911114,7,1.03115
-62.1714,37.1033,-0.913968,7,1.04238
-62.1155,37.0309,-0.916856,7,1.05361
-62.06,36.9584,-0.919688,7,1.03115
-62.0048,36.886,-0.922421,7,1.04238
-61.9499,36.8135,-0.925136,7,1.05361
-61.8953,36.7411,-0.927867,7,1.0661
-61.8411,36.6686,-0.930527,7,1.04238
-61.7871,36.5962,-0.933077,7,1.00742
-61.7334,36.5237,-0.93559,7,1.01866
-61.68,36.4513,-0.938099,7,1.04238
-61.6269,36.3788,-0.940529,7,1.01866
-61.574,36.3064,-0.942843,7,1.03115
-61.5214,36.2339,-0.945106,7,1.04238
-61.4691,36.1615,-0.947352,7,1.05361
-61.417,36.089,-0.949517,7,1.04238
-61.3651,36.0166,-0.951568,7,1.05361
-61.3135,35.9441,-0.953567,7,1.07662
-61.2621,35.8717,-0.955544,7,1.08857
-61.2109,35.7992,-0.957447,7,1.01866
-61.1599,35.7268,-0.959252,7,1.05361
-61.1091,35.6543,-0.961015,7,1.07662
-61.0584,35.5819,-0.962765,7,1.08857
-61.008,35.5094,-0.964459,7,1.07662
-60.9578,35.437,-0.966082,7,1.08857
-60.9077,35.3645,-0.967687,7,1.0998
-60.8578,35.2921,-0.969302,7,1.08857
-60.8081,35.2196,-0.970886,7,1.05361
-60.7585,35.1472,-0.972433,7,1.07662
-60.7091,35.0747,-0.973998,7,1.08857
-60.6599,35.0023,-0.975605,7,1.0998
-60.6109,34.9298,-0.977213,7,1.08857
-60.562,34.8574,-0.978817,7,1.0998
-60.5132,34.7849,-0.98048,7,1.07662
-60.4647,34.7125,-0.982221,7,1.08857
-60.4163,34.64,-0.983991,7,1.0661
-60.3682,34.5676,-0.985785,7,1.07733
-60.3202,34.4951,-0.987674,7,1.08857
-60.2724,34.4227,-0.989675,7,1.08857
-60.2248,34.3502,-0.991724,7,1.04238
-60.1774,34.2778,-0.993812,7,1.05361
-60.1303,34.2053,-0.996019,7,1.07662
-60.0834,34.1329,-0.99836,7,1.08857
-60.0367,34.0604,-1.00076,7,1.07662
-59.9902,33.988,-1.00319,7,1.04238
-59.944,33.9155,-1.00575,7,1.05361
-59.8981,33.8431,-1.00845,7,1.0661
-59.8524,33.7706,-1.0112,7,1.04238
-59.8071,33.6982,-1.01397,7,1.05361
-59.762,33.6257,-1.01685,7,1.01866
-59.7171,33.5533,-1.01986,7,1.04238
-59.6726,33.4808,-1.0229,7,1.01866
-59.6284,33.4084,-1.02592,7,1.04238
-59.5845,33.3359,-1.02904,7,1.00742
-59.5409,33.2635,-1.03226,7,1.01866
-59.4976,33.191,-1.03548,7,1.00742
-59.4546,33.1186,-1.03865,7,1.01866
-59.412,33.0461,-1.04187,7,1.00725
-59.3696,32.9737,-1.04516,7,1.01866
-59.3276,32.9012,-1.04843,7,1.00742
-59.2859,32.8288,-1.05161,7,1.01866
-59.2445,32.7563,-1.0548,7,1.00725
-59.2034,32.6839,-1.05804,7,1.01866
-59.1626,32.6114,-1.06121,7,1.01866
-59.1221,32.539,-1.06428,7,1.00725
-59.0819,32.4665,-1.06733,7,1.01866
-59.042,32.3941,-1.07039,7,1.04238
-59.0024,32.3216,-1.07338,7,1.01866
-58.9631,32.2492,-1.07624,7,1.00725
-58.924,32.1767,-1.07906,7,1.01866
-58.8852,32.1043,-1.08187,7,1.05361
-58.8467,32.0318,-1.0846,7,1.00725
-58.8084,31.9594,-1.0872,7,1.01866
-58.7703,31.8869,-1.08975,7,1.05361
-58.7325,31.8145,-1.09228,7,1.01866
-58.6949,31.742,-1.09472,7,1.01866
-58.6576,31.6696,-1.09703,7,1.00725
-58.6204,31.5971,-1.09929,7,1.01866
-58.5835,31.5247,-1.10153,7,1.05361
-58.5467,31.4522,-1.10368,7,1.00725
-58.5102,31.3798,-1.10571,7,1.01866
-58.4738,31.3073,-1.10769,7,1.06521
-58.4377,31.2349,-1.10964,7,1.05361
-58.4017,31.1624,-1.11151,7,1.05361
-58.3658,31.09,-1.11328,7,1.07662
-58.3302,31.0175,-1.11498,7,1.05361
-58.2947,30.9451,-1.11666,7,1.07662
-58.2593,30.8726,-1.11826,7,1.01866
-58.2241,30.8002,-1.11976,7,1.05361
-58.189,30.7277,-1.12121,7,1.07662
-58.154,30.6553,-1.12262,7,1.05361
-58.1192,30.5828,-1.12397,7,1.06521
-58.0845,30.5104,-1.12522,7,1.05361
-58.0499,30.4379,-1.12641,7,1.07662
-58.0154,30.3655,-1.12757,7,1.0998
-57.981,30.293,-1.12867,7,1.05361
-57.9467,30.2206,-1.12968,7,1.07662
-57.9125,30.1481,-1.13064,7,1.05361
-57.8783,30.0757,-1.13156,7,1.07662
-57.8443,30.0032,-1.13243,7,1.01866
-57.8103,29.9308,-1.13322,7,1.05361
-57.7764,29.8583,-1.13396,7,1.07662
-57.7426,29.7859,-1.13466,7,1.06521
-57.7088,29.7134,-1.13531,7,1.07662
-57.6751,29.641,-1.13591,7,1.05361
-57.6415,29.5685,-1.13645,7,1.07662
-57.6079,29.4961,-1.13697,7,1.0998
-57.5743,29.4236,-1.13744,7,1.05361
-57.5408,29.3512,-1.13786,7,1.07662
-57.5073,29.2787,-1.13825,7,1.05361
-57.4739,29.2063,-1.1386,7,1.07662
-57.4404,29.1338,-1.13892,7,1.05361
-57.407,29.0614,-1.1392,7,1.07662
-57.3737,28.9889,-1.13945,7,1.0998
-57.3403,28.9165,-1.13967,7,1.07662
-57.307,28.844,-1.13987,7,1.0998
-57.2737,28.7716,-1.14004,7,1.05361
-57.2404,28.6991,-1.14018,7,1.07662
-57.2071,28.6267,-1.14029,7,1.05361
-57.1738,28.5542,-1.14039,7,1.07662
-57.1406,28.4818,-1.14046,7,1.07662
-57.1073,28.4093,-1.14051,7,1.06521
-57.0741,28.3369,-1.14054,7,1.0998
-57.0408,28.2644,-1.14056,7,1.05361
-57.0076,28.192,-1.14056,7,1.07662
