ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,collision_flag_sum,fgm_min_d_mean,fre_min_d_mean
0.93,2.51,1.6,2.42,2.74,0.57,19.023313921914287,25.852001238265537,18.07292203002538,21.884681471875506,12.025,0,0.00347056,0.007913395714285714
1.58,2.49,1.7,2.57,2.82,0.58,19.00694568216774,25.330944665584433,17.911282101950086,22.142185454112607,14.276250000000001,0,0.0037171187499999998,0.0063723575
0.89,2.14,1.44,2.3,2.61,0.52,18.985119455179866,24.656714859659772,17.871197804275837,22.678061270965465,12.08125,0,0.0031479957142857146,0.009509552857142858
0.79,2.01,1.36,2.39,2.7,0.55,18.97550425139901,23.341565009508468,17.752154012224807,24.171696891986404,11.915,0,0.002675365714285714,0.012386540000000001
1.54,2.29,1.55,2.42,2.71,0.56,18.935371793438836,24.835258742397126,18.227112705868723,22.485318970892266,11.72875,0,0.002386852857142857,0.013677428571428573
1.38,1.89,1.22,1.86,2.17,0.45,18.935051704350798,27.409448414935518,17.290372921941334,21.855460750853243,13.87125,0,0.0071453587500000006,0.02997554875
0.65,1.79,1.21,2.41,2.8,0.56,18.9256698091576,25.133771609427836,17.393248115303166,21.349990938745922,12.15,0,0.0026876057142857144,0.01538308142857143
1.55,1.42,0.87,1.15,0.45,0.4,18.90341938531123,25.347257629922705,17.807819191689315,25.81629032258064,12.13,0,0.00286370125,0.01840296125
1.48,2.37,1.61,2.46,2.74,0.56,18.798270919944336,24.493112343904468,17.35228564552086,22.382955976208052,12.14375,0,0.003337532857142857,0.007902487142857142
1.5,2.43,1.84,2.6,2.89,0.58,18.777900033499844,24.604352257595608,17.537316401314435,22.305325389451852,14.38,0,0.00211712125,0.015186086250000001
1.98,2.17,1.43,2.22,2.5,0.53,18.77527025267179,24.2326807653115,16.77107222375777,22.29692862045298,14.64125,0,0.0031837525,0.00872203625
2.5,1.24,0.72,1.19,1.25,0.33,18.758613977571212,21.873476325170518,17.417674582605926,23.114280937997187,13.42625,0,0.00324283125,0.0076709125
0.97,2.09,1.41,2.26,2.53,0.49,18.726073755981247,23.79023509874311,17.684972031321653,21.658761755148596,12.21,0,0.0026078542857142853,0.011968941428571429
1.38,2.24,1.51,2.37,2.66,0.55,18.72344789901489,23.938295155674076,17.516551462490312,22.69937397115416,12.68125,1,0.00406377125,0.0116691225
1.95,2.16,1.32,2.09,2.38,0.5,18.710720894351056,26.203758110872588,16.69743426643931,20.709987394350186,12.71625,1,0.0024635700000000004,0.008577564285714285
0.5638,0.8564,0.8468,2.8497,2.6366,0.2548,18.701909744220888,24.97661495708748,15.51999364671421,23.24438953389974,15.872499999999999,0,0.0029221475,0.0102188275
0.72,1.77,1.18,2.29,2.64,0.51,18.69645512078747,23.94255328266584,18.083317129176514,24.39840118326525,14.215,0,0.00238679875,0.013433575
0.77,2.31,1.4,2.33,2.68,0.55,18.687850518636093,23.337334658913633,17.365435194903775,21.733756461427728,12.1475,0,0.0028477385714285714,0.00948501857142857
1.73,1.84,0.88,1.26,1.41,0.39,18.659775411758424,24.76149852278402,17.173563937178578,22.49134329643826,11.105,0,0.0029704971428571427,0.012051130000000002
1.46,2.38,1.82,2.58,2.87,0.58,18.65814761892023,23.303755141321396,17.729067600531195,22.97301871764237,14.31875,0,0.00253446875,0.01240307625
1.52,2.11,1.46,2.14,2.43,0.5,18.655215310846202,23.68468004408439,16.95904352209385,23.09107461269481,11.2925,0,0.003461145714285714,0.006616118571428571
0.66,2.04,1.31,2.44,2.71,0.56,18.65017513234868,22.933944759561513,17.847406157960464,23.587347706936967,11.70125,0,0.003175228571428571,0.02088409714285714
1.62,1.51,1.05,1.42,1.67,0.41,18.613278367080625,25.838125626938314,17.69248637902686,22.956791559782978,12.76375,1,0.00862599,0.02951854625
1.91,2.1,1.36,2.13,2.47,0.52,18.570264490292143,26.08012471608961,16.799909225221516,21.551206249076984,14.1025,0,0.003514645,0.0117459125
1.48,2.02,1.35,2.06,2.38,0.49,18.53446877442021,24.28724664587624,17.774178498016408,22.02174852992044,14.57,0,0.00168943,0.02521101875
1.94,2.12,1.39,2.16,2.49,0.52,18.513046090769677,25.13976902592119,17.25943223078695,22.006101767295185,14.48125,0,0.00566307,0.01270441875
1.56,1.41,0.86,1.14,0.44,0.4,18.51249996568117,22.217791040376863,17.564690207382746,25.822911366642927,11.5025,1,0.00240446125,0.0272243125
1.48,2.41,1.83,2.59,2.88,0.58,18.493390688744373,23.33478320964945,17.504027755746016,23.3465233289869,11.99125,0,0.004057217142857143,0.012764931428571427
0.63,1.88,1.28,2.56,2.99,0.58,18.479308264359123,24.335489598320176,17.95310412353213,23.065700550407577,13.18,1,0.0032082925,0.0154410875
1.4,2.28,1.55,2.41,2.7,0.56,18.46783170427898,24.233547643988878,17.617427361328943,22.899973985431842,14.49625,0,0.00313542125,0.00853212125
1.35,1.84,1.16,1.83,2.14,0.45,18.444532033227873,25.8910872399808,17.227933538746345,23.213076559439934,14.6975,0,0.00255218625,0.0120268925
2.79,1.31,0.83,1.36,1.64,0.43,18.33594539195156,24.17393345202846,17.217871397497284,22.565885524003733,13.70625,0,0.00213764875,0.01132154
0.86,2.61,1.72,2.69,2.94,0.58,18.32804978289962,23.019749253776883,17.23226511263391,22.48303287969274,14.52375,0,0.00292426,0.014119166249999999
