map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET
playground,2.3225,1.7967,0.9319,0.923,0.985,0.1398,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765074439,STUCK,13.03,Mux_playground_WS2.3225_WT1.7967_WC0.9319_WCL0.923_WD0.985_DM0.1398_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765074439_STUCK_dur_13.03s.csv,STUCK DETECTED,13.03,21.86,False,0.00420007,0.8801369863013698,0.6659715095288433,0.00782639,1.0,1.3962072951201114,0.07854027358981301,0.0,0.47459677419354845,0.0,0.0
playground,1.41,2.18,1.44,2.2,2.49,0.53,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765069557,GOAL,13.83,Mux_playground_WS1.41_WT2.18_WC1.44_WCL2.20_WD2.49_DM0.53_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765069557_GOAL_dur_13.83s.csv,GOAL REACHED,13.83,34.05,False,0.00121843,1.0,0.4520232901381943,0.00574458,0.5736906211936662,1.6556704116845453,0.07828238712311511,0.10962241169305727,0.4423387096774194,18.74992838894064,20.94373010883659
playground,1.72,1.57,0.96,1.29,0.51,0.45,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765082135,GOAL,13.79,Mux_playground_WS1.72_WT1.57_WC0.96_WCL1.29_WD0.51_DM0.45_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765082135_GOAL_dur_13.79s.csv,GOAL REACHED,13.79,34.08,False,0.00326427,0.9540740740740741,0.44746717169860123,0.0349422,0.5987538940809969,1.565674347988781,0.09074278499543795,0.10317757009345796,0.4439516129032259,19.67054333677743,20.540978293638833
playground,2.7,1.27,0.69,1.09,1.12,0.31,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765081500,GOAL,12.3,Mux_playground_WS2.70_WT1.27_WC0.69_WCL1.09_WD1.12_DM0.31_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765081500_GOAL_dur_12.30s.csv,GOAL REACHED,12.3,34.07,False,0.00166408,1.0,0.44058389869836256,0.00868168,0.5135135135135135,1.3404176451540228,0.07991658590023393,0.1250965250965251,0.5040322580645161,20.71512875495186,23.877724498692242
playground,1.53,2.55,1.88,2.73,3.05,0.6,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765091729,STUCK,14.65,Mux_playground_WS1.53_WT2.55_WC1.88_WCL2.73_WD3.05_DM0.60_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765091729_STUCK_dur_14.65s.csv,STUCK DETECTED,14.65,29.61,False,0.00375271,0.712396185788988,0.4997596218705624,0.0200509,0.6341684274071838,0.5522967928295793,0.1454181776727513,0.15802857683392713,0.4092741935483871,0.0,0.0
playground,2.77,1.18,0.92,1.54,1.82,0.45,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765081638,GOAL,12.61,Mux_playground_WS2.77_WT1.18_WC0.92_WCL1.54_WD1.82_DM0.45_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765081638_GOAL_dur_12.61s.csv,GOAL REACHED,12.61,34.07,False,0.00334861,0.9441984056687334,0.4453567669761372,0.0264217,0.5765582655826558,1.5289174010777933,0.09358372897430613,0.1088850174216028,0.49153225806451617,21.296828770136912,22.367918961447682
playground,1.46,2.38,1.82,2.58,2.87,0.58,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765101289,GOAL,14.46,Mux_playground_WS1.46_WT2.38_WC1.82_WCL2.58_WD2.87_DM0.58_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765101289_GOAL_dur_14.46s.csv,GOAL REACHED,14.46,34.04,False,0.00173553,0.7145150931278099,0.4343037698507058,0.00374732,0.6391481913652275,1.3816707671740793,0.15422415178846235,0.09279046507751293,0.41693548387096774,23.303755141321396,19.003397071554932
playground,2.8,1.32,0.84,1.37,1.65,0.43,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765072810,GOAL,13.35,Mux_playground_WS2.80_WT1.32_WC0.84_WCL1.37_WD1.65_DM0.43_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765072810_GOAL_dur_13.35s.csv,GOAL REACHED,13.35,34.09,False,0.00274683,0.9914224446032881,0.4429822003592021,0.00477948,0.5804579168010319,1.4280209603662546,0.08177962847926848,0.10788224996544896,0.4616935483870968,19.5753804451617,21.40256394919433
playground,2.84,1.35,0.86,1.39,1.68,0.44,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765091470,GOAL,12.49,Mux_playground_WS2.84_WT1.35_WC0.86_WCL1.39_WD1.68_DM0.44_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765091470_GOAL_dur_12.49s.csv,GOAL REACHED,12.49,34.07,False,0.00413614,0.895397489539749,0.5066054238937798,0.0131335,0.7506535947712418,1.5792388474117802,0.09738272784781031,0.06411764705882353,0.4963709677419355,21.707919981604785,19.379364326375715
playground,2.3654,1.7615,0.6445,0.6267,0.5972,0.1301,Opp_bumper_v_5.csv,MUX_OBSTACLE,1765076256,CRASH,3.69,Mux_playground_WS2.3654_WT1.7615_WC0.6445_WCL0.6267_WD0.5972_DM0.1301_Opp_bumper_v_5.csv_MUX_OBSTACLE_1765076256_CRASH_dur_3.69s.csv,COLLISION DETECTED,3.69,12.07,True,0.094016,1.0,0.40975016542413717,0.0124558,1.0,0.09431403938027169,0.084321404939409,0.12938370865996118,0.8512096774193548,0.0,0.0
