# time_s,speed_mps,steer_rad
43.6185,3.5,0
43.7189,3.5,0
43.8193,3.5,0
43.9198,3.5,0
44.0202,3.5,0
44.1206,3.5,0
44.2211,3.5,0
44.2995,0,0
44.3998,0,0
44.5002,0,0
44.6006,0,0
44.701,0,0
44.7971,0.5,0
44.8975,0.5,0
44.9979,0.5,0
45.0984,0.5,0
45.1988,0.5,0
45.2991,0.5,0
45.3996,0.5,0
45.5001,0.5,0
45.6004,0.5,0
45.7008,0.5,0
45.8012,0.5,0
45.9017,0.5,0
46.0021,0.5,0
46.1026,0.5,0
46.203,0.5,0
46.3006,0.5,0.16
46.4011,0.5,0.1425
46.5014,0.5,0.125
46.6077,0.5,0.2675
46.7081,0.5,0.25
46.8086,0.5,0.2325
46.9091,0.5,0.215
47.0256,0,0
47.126,0,0
47.2264,0,0
47.3268,0,0
47.4272,0,0
47.5275,0,0
47.6279,0,0
47.7283,0,0
47.8288,0,0
47.9292,0,0
48.0296,0,0
48.13,0,0
48.2303,0,0
48.3307,0,0
48.4311,0,0
48.5304,0,0.2
48.6308,0,0.185
48.7312,0,0.17
48.8316,0,0.155
48.8631,0.5,0.1375
48.9635,0.5,0.12
49.0639,0.5,0.1025
49.1643,0.5,0.085
49.2655,0.5,0.2275
49.3236,0.5,0.363636
49.424,0.5,0.346136
49.4827,0.5,0.363636
49.5831,0.5,0.346136
49.6836,0.5,0.328636
49.7934,0.5,0.346136
49.8937,0.5,0.328636
49.9941,0.5,0.311136
50.0393,0.5,0.151136
50.1397,0.5,0.133636
50.2401,0.5,0.116136
50.3493,0.5,0.258636
50.4191,0.5,0.363636
50.5195,0.5,0.346136
50.6122,0.5,0.363636
50.7127,0.5,0.346136
50.8131,0.5,0.328636
50.9135,0.5,0.311136
51.0138,0.5,0.293636
51.0407,1,0.273636
51.1417,1,0.253636
51.2181,1.5,0.231136
51.3185,1.5,0.208636
51.419,1.5,0.186136
51.5195,1.5,0.163636
51.5678,1.5,0.0493506
51.6682,1.5,0.0268507
51.7508,1.5,-0.0874351
51.8512,1.5,-0.0649351
51.9517,1.5,-0.0424351
52.0677,2,0
52.1682,2,0
52.2686,2,0
52.369,2,0
52.4051,2.5,0
52.5055,2.5,0
52.6059,2.5,0
52.714,2.5,-0.0613889
52.8145,2.5,-0.0338889
52.9149,2.5,-0.00638889
52.9923,2.5,-0.0952778
53.0928,2.5,-0.0677778
53.1932,2.5,-0.0402778
53.2937,2.5,-0.0127778
53.3941,2.5,0
53.4945,2.5,0
53.5949,2.5,0
53.6953,2.5,0
53.8035,2.5,0.0613889
53.9039,2.5,0.0338889
54.0043,2.5,0.00638889
54.1048,2.5,0
54.2052,2.5,0
54.24,2.5,-0.0888889
54.3404,2.5,-0.0613889
54.4409,2.5,-0.0338889
54.5412,2.5,-0.00638889
54.6417,2.5,0
54.7421,2.5,0
54.8425,2.5,0
54.9429,2.5,0
55.0434,2.5,0
55.0802,3,0
55.1807,3,0
55.2814,3,0
55.3819,3,0
55.4823,3,0
55.5827,3,0
55.6831,3,0
55.7834,3,0
55.884,3,0
55.9121,3,0.08
56.0126,3,0.05
56.1129,3,0.02
56.2133,3,0
56.3137,3,0
56.4031,3,0.08
56.5035,3,0.05
56.6039,3,0.02
56.7043,3,0
56.7655,3,0.08
56.866,3,0.05
56.9665,3,0.02
57.017,3,0.1
57.1174,3,0.07
57.2178,3,0.04
57.2396,3,0.12
57.34,3,0.09
57.4406,3,0.06
57.5409,3,0.03
57.6074,3,0.11
57.7078,3,0.08
57.8082,3,0.05
57.9086,3,0.02
58.0091,3,0
58.0841,3,0.08
58.1846,3,0.05
58.285,3,0.02
58.3855,3,0
58.4862,3,0.05
58.574,3,0.13
58.6744,3,0.1
58.7749,3,0.07
58.8752,3,0.04
58.9494,3,0.12
59.0499,3,0.09
59.1503,3,0.06
59.2509,3,0.03
59.2958,3,-0.05
59.3962,3,-0.02
59.4966,3,0
59.5971,3,0
59.6975,3,0
59.798,3,0
59.9067,3,-0.05
60.0072,3,-0.02
60.1076,3,0
60.2079,3,0
60.3083,3,0
60.4088,3,0
60.5091,3,0
60.6096,3,0
60.71,3,0
60.7904,3,-0.08
60.891,3,-0.05
60.9915,3,-0.02
61.092,3,0
61.1924,3,0
61.293,3,0
61.3934,3,0
61.4939,3,0
61.5943,3,0
61.6947,3,0
61.7951,3,0
61.8955,3,0
61.9959,3,0
62.0963,3,0
62.1967,3,0
62.2971,3,0
62.3975,3,0
62.4979,3,0
62.5982,3,0
62.6987,3,0
62.7991,3,0
62.8995,3,0
62.9999,3,0
63.1004,3,0
63.2008,3,0
63.3012,3,0
63.4017,3,0
63.5021,3,0
63.6025,3,0
63.7029,3,0
63.8033,3,0
63.9037,3,0
64.0041,3,0
64.1045,3,0
64.2049,3,0
64.3053,3,0
64.4058,3,0
64.5062,3,0
64.6066,3,0
64.707,3,0
64.8074,3,0
64.9078,3,0
65.0082,3,0
65.1086,3,0
65.209,3,0
65.3093,3,0
65.4098,3,0
65.5101,3,0
65.6106,3,0
65.711,3,0
65.8115,3,0
65.912,3,0
66.0125,3,0
66.1128,3,0
66.2133,3,0
66.3137,3,0
66.4142,3,0
66.5146,3,0
66.6151,3,0
66.7155,3,0
66.816,3,0
66.9164,3,0
67.0168,3,0
67.1172,3,0
67.2176,3,0
67.3181,3,0
67.3438,3,-0.08
67.4444,3,-0.05
67.5449,3,-0.02
67.6453,3,0
67.7458,3,0
67.8462,3,0
67.9423,3.5,0
68.0428,3.5,0
68.1432,3.5,0
68.2436,3.5,0
68.344,3.5,0
68.4225,3.5,0.0727273
68.523,3.5,0.0402273
68.6234,3.5,0.00772727
68.7238,3.5,0
68.8242,3.5,0
68.9246,3.5,0
69.025,3.5,0
69.0919,3.5,0.0727273
69.1923,3.5,0.0402273
69.2927,3.5,0.00772727
69.3931,3.5,0
69.4935,3.5,0
69.5939,3.5,0
69.6943,3.5,0
69.7947,3.5,0
69.8951,3.5,0
69.954,3.5,-0.0727273
70.0545,3.5,-0.0402273
70.1549,3.5,-0.00772727
70.2554,3.5,0
70.3559,3.5,0
70.4563,3.5,0
70.5567,3.5,0
70.674,3.5,0.0402273
70.7745,3.5,0.00772727
70.8749,3.5,0
70.9752,3.5,0
71.0759,3.5,0
71.1614,3.5,0.0727273
71.2618,3.5,0.0402273
71.3622,3.5,0.00772727
71.4626,3.5,0
71.563,3.5,0
71.6349,3.5,0.0727273
71.7353,3.5,0.0402273
71.8357,3.5,0.00772727
71.9361,3.5,0
72.0365,3.5,0
72.1485,3.5,0.0402273
72.2489,3.5,0.00772727
72.3493,3.5,0
72.4498,3.5,0
72.565,3.5,0.0402273
72.6653,3.5,0.00772727
72.7656,3.5,0
72.8661,3.5,0
72.9626,3.5,0.0727273
73.063,3.5,0.0402273
73.1634,3.5,0.00772727
73.2639,3.5,0
73.3643,3.5,0
73.4646,3.5,0
73.5651,3.5,0
73.6676,3.5,-0.0402273
73.768,3.5,-0.00772727
73.8685,3.5,0
73.9689,3.5,0
74.0694,3.5,0
74.1699,3.5,0
74.2703,3.5,0
74.3707,3.5,0
74.4711,3.5,0
74.5716,3.5,0
74.672,3.5,0
74.7864,3.5,-0.0402273
74.8671,3.5,-0.112955
74.9675,3.5,-0.0804545
75.0678,3.5,-0.0479545
75.1683,3.5,-0.0154545
75.2686,3.5,0
75.342,3.5,-0.0727273
75.4425,3.5,-0.0402273
75.5429,3.5,-0.00772727
75.6434,3.5,0
75.7437,3.5,0
75.8175,3.5,-0.0727273
75.918,3.5,-0.0402273
75.9855,3.5,-0.112955
76.086,3.5,-0.0804545
76.1471,3.5,-0.153182
76.2475,3.5,-0.120682
76.348,3.5,-0.0881818
76.4674,3.5,-0.128409
76.5678,3.5,-0.0959091
76.6684,3.5,-0.0634091
76.7689,3.5,-0.0309091
76.8693,3.5,0
76.9697,3.5,0
77.0701,3.5,0
77.1705,3.5,0
77.2709,3.5,0
