ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,valid_count_sum,fgm_min_d_mean,fgm_ratio_mean,frenet_ratio_mean
1.59,1.44,0.88,1.17,0.46,0.41,34.8686918692157,39.693731602009294,36.38691962923051,40.61411724976305,12.187142857142858,7,0.0031268285714285715,0.31159389880396987,0.6884061011960301
1.73,1.58,0.97,1.3,0.52,0.46,34.84881213076592,40.38261927841949,36.78573106811506,42.4086117830206,12.234285714285715,7,0.0030148685714285715,0.339870774755098,0.660129225244902
1.64,1.47,0.91,1.2,0.48,0.42,34.65116363338084,41.48601359706107,36.314816208922366,41.04810409371248,12.188571428571427,7,0.0034706414285714283,0.33267793906752136,0.6673220609324787
2.35,1.75,0.73,1.11,1.1,0.31,34.27110315170385,41.24140682746682,34.40153354336053,39.012684342389704,12.39,7,0.0022906657142857142,0.30512385699089556,0.6948761430091045
1.62,1.48,0.92,1.21,0.48,0.42,33.94078802784423,39.28261521282622,35.299124616430575,39.96361808266055,12.294285714285715,7,0.00376048,0.3069068860832872,0.6930931139167128
1.74,1.59,0.97,1.31,0.52,0.46,33.89540474019481,39.68538775547275,36.90845741117748,40.69268223388638,12.29857142857143,7,0.00293839,0.33230283748461215,0.6676971625153879
1.62,1.48,0.9,1.21,0.47,0.42,33.83221514793236,38.22854873466105,35.74954213534265,39.465160413566416,12.212857142857143,7,0.0034896585714285716,0.3232409795945041,0.6767590204054958
2.63,1.63,0.74,1.12,1.13,0.32,33.66680524012866,36.240136877157155,35.90273929448708,40.14291822981384,12.162857142857144,7,0.0026778857142857144,0.28588061097578155,0.7141193890242185
2.59,1.61,0.72,1.1,1.11,0.32,33.44233063075547,37.284479129303996,34.159820472630884,36.453933260061355,12.375714285714285,7,0.002385851428571429,0.27174791023210715,0.7282520897678929
2.2,1.49,0.77,1.17,1.19,0.34,32.80459083284498,36.152176965223404,34.24252656595657,42.26715979833398,12.44,7,0.002152367142857143,0.25002347926221946,0.7499765207377805
2.53,1.38,0.62,1.16,1.15,0.32,32.7067749983366,38.027726873422516,33.777696062174854,38.030584305761735,12.374285714285715,7,0.00212639,0.31105076158858086,0.6889492384114192
2.63,1.64,0.75,1.11,1.16,0.32,32.526762244588916,36.29469414296452,33.56181808574646,36.81900366244199,12.58,7,0.002140042857142857,0.2756422599752945,0.7243577400247055
1.57,1.43,0.89,1.16,0.46,0.41,32.37269427998234,39.32932160675821,34.330614043460905,38.1969635746572,12.514285714285714,7,0.002750311428571429,0.32201019134101394,0.6779898086589861
1.73,1.84,0.88,1.26,1.41,0.39,32.290121356073186,38.38691457536875,32.390266104706775,33.95476901488349,12.691428571428572,7,0.0029704971428571427,0.23073673568488617,0.7692632643151137
2.61,1.6,0.73,1.11,1.12,0.32,31.93177891976779,35.332710315773674,33.47244020227076,39.578557910555695,12.504285714285714,7,0.0025421385714285713,0.27444475996447965,0.7255552400355203
2.85,1.63,0.75,1.31,1.43,0.41,31.820535531656105,35.71100671421248,32.65443909150876,37.719295606338356,12.684285714285716,7,0.0019720614285714286,0.24885834407044252,0.7511416559295575
2.23,1.5,0.78,1.18,1.2,0.34,31.711931181074657,36.928841856229276,32.76148321674379,39.61776645748321,12.657142857142857,7,0.0025092142857142856,0.24207927999434212,0.7579207200056579
2.94,1.11,0.69,1.22,1.37,0.39,31.55456744852608,38.582882379571295,31.409215024917152,38.196897978294764,12.76142857142857,7,0.003248244285714286,0.2855740904842029,0.7144259095157971
2.25,1.51,0.79,1.19,1.21,0.34,31.355991562323375,36.382129604495056,32.573745529790145,38.89607638533327,12.741428571428571,7,0.0028446114285714287,0.2897566039902852,0.7102433960097149
2.44,1.46,0.82,1.25,1.33,0.36,31.331225413936732,35.29289589781474,31.256491401366784,36.972277211452955,12.739999999999998,7,0.0031661085714285715,0.2454345026566585,0.7545654973433414
1.38,2.24,1.51,2.37,2.66,0.55,31.22440677692052,37.383111717002215,28.96679621161329,34.57272431610882,13.218571428571428,7,0.00277751,0.2955244291661506,0.7044755708338493
2.18,1.47,0.75,1.15,1.17,0.33,31.192247619220932,36.0457171446915,32.18284369129986,36.245570184456724,12.77,7,0.002245952857142857,0.2874367553593529,0.712563244640647
1.45,2.32,1.58,2.45,2.75,0.56,31.15739895037687,41.52210705454912,29.97190712578257,45.701535575821985,13.025714285714287,7,0.0027722199999999997,0.25014013475767094,0.7498598652423291
2.68,1.54,0.83,1.25,1.39,0.36,31.10211735015755,39.157327898172035,30.072673087654056,35.91310993775324,12.898571428571428,7,0.0024381628571428574,0.2803012446124961,0.7196987553875038
2.38,1.56,0.84,1.26,1.33,0.36,31.074155345051214,37.35851830158617,33.16852543981083,40.57881784979717,12.561428571428573,7,0.0024053957142857146,0.23384097622358443,0.7661590237764155
2.33,1.52,0.8,1.22,1.34,0.37,31.051599327028004,37.81281296373863,32.309836877026164,35.72507196148167,12.72,7,0.0026471314285714284,0.24120610947997978,0.7587938905200202
1.49,2.57,1.92,2.77,3.09,0.6,30.96648189045931,40.00973872530449,29.393054931757625,39.519324106706584,13.165714285714285,7,0.002304002857142857,0.28114203759636525,0.7188579624036348
1.62,1.51,1.05,1.42,1.67,0.41,30.786040442100187,35.79905175217687,29.925917976249107,39.91503763244282,13.197142857142856,7,0.008028402857142857,0.25211506105992926,0.7478849389400708
2.93,1.12,0.7,1.23,1.36,0.39,30.738761644627637,38.13812532231536,30.70964854696933,38.62745108036327,12.952857142857143,7,0.0025912714285714284,0.23818218205428124,0.7618178179457188
2.44,1.41,0.78,1.18,1.28,0.35,30.639895732007698,35.0871653013414,32.17720663140328,38.97327527173872,12.748571428571427,7,0.002160937142857143,0.26724226744645,0.7327577325535499
0.99,2.18,1.47,2.33,2.63,0.54,30.445655804276356,39.768375236886534,27.539620411520247,39.25373326383157,13.391428571428571,7,0.005454384285714286,0.25460148429093593,0.745398515709064
2.41,1.42,0.79,1.17,1.3,0.34,30.244265623744234,33.609358762389476,31.21123829572549,35.42558339743035,12.811428571428573,7,0.0015611042857142858,0.25065948403486554,0.7493405159651345
1.91,2.1,1.36,2.13,2.47,0.52,30.075189202232036,35.77016066669236,27.443710056776382,37.20052925238778,13.417142857142858,7,0.00387297,0.24124172104431388,0.7587582789556861
2.73,1.53,0.88,1.45,1.8,0.46,29.94934203715898,34.37758455551568,30.089844267125404,35.601195115388094,13.012857142857143,7,0.0023451914285714287,0.20783145332961703,0.792168546670383
0.66,2.04,1.31,2.44,2.71,0.56,29.944809563946688,37.1963562414441,28.090577467046057,37.266753723836096,13.372857142857143,7,0.003175228571428571,0.2829801548042922,0.7170198451957078
2.79,1.31,0.83,1.36,1.64,0.43,29.76296727818958,35.193430896112496,29.195896878900978,33.45355105117427,13.098571428571429,7,0.0022803385714285714,0.22031069403825704,0.779689305961743
2.51,1.49,0.85,1.28,1.36,0.38,29.622916289561037,38.99066969574986,30.52508347092797,35.58032518028821,12.942857142857141,7,0.002356321428571429,0.23657656591308296,0.7598187479949976
0.95,2.05,1.38,2.29,2.55,0.54,29.328640009149925,36.42124460310397,27.31963783068051,35.55667470202106,13.478571428571428,7,0.0032234614285714287,0.30096935885394815,0.6990306411460517
2.41,1.48,0.79,1.28,1.36,0.37,29.24126103963123,35.79103530538524,30.95725262174877,32.98893851959366,12.90857142857143,7,0.0025546014285714284,0.25890935553570177,0.7410906444642983
2.56,1.21,0.92,1.44,1.73,0.43,29.13603679634959,32.5777004838793,27.593552924415143,33.191730886765356,13.277142857142858,7,0.0023510642857142855,0.20840806282653543,0.7915919371734645
