# x,y,yaw_rad,speed_mps,dist_to_wall
27.53397,32.64208,3.12676,7.0,1.35
27.43398,32.64357,3.12933,7.0,1.35
27.33399,32.64479,3.13101,7.0,1.35
27.234,32.64585,3.13374,7.0,1.35
27.134,32.64664,3.13424,7.0,1.35
27.034,32.64737,3.13608,7.0,1.35
26.934,32.64792,3.13685,7.0,1.35
26.834,32.6484,3.13813,7.0,1.35
26.734,32.64874,3.13925,7.0,1.35
26.634,32.64898,3.1392,7.0,1.35
26.534,32.64922,3.13909,7.0,1.35
26.434,32.64947,3.14026,7.0,1.35
26.33401,32.6496,3.14056,7.0,1.35
26.23401,32.6497,3.14125,7.0,1.35
26.13401,32.64974,3.14098,7.0,1.35
26.03401,32.6498,3.14076,7.0,1.35
25.93401,32.64988,3.14141,7.0,1.35
25.83401,32.6499,-3.14156,7.0,1.35
25.73401,32.6499,3.14119,7.0,1.35
25.63401,32.64994,3.14088,7.0,1.35
25.53401,32.65001,-3.14149,7.0,1.35
25.43401,32.65,3.14158,7.0,1.35
25.33401,32.65,3.14159,7.0,1.35
25.23401,32.65,-3.14159,7.0,1.35
25.13401,32.65,3.14159,7.0,1.35
25.03401,32.65,-3.14159,7.0,1.35
24.93401,32.65,3.14159,7.0,1.35
24.83401,32.65,3.14159,7.0,1.35
24.73401,32.65,-3.14159,7.0,1.35
24.63401,32.65,3.14159,7.0,1.35
24.53401,32.65,-3.14159,7.0,1.35
24.43401,32.65,3.14159,7.0,1.35
24.33401,32.65,3.14159,7.0,1.35
24.23401,32.65,-3.14159,7.0,1.35
24.13401,32.65,3.14159,7.0,1.35
24.03401,32.65,3.14159,7.0,1.35
23.93401,32.65,3.14159,7.0,1.35
23.83401,32.65,3.14159,7.0,1.35
23.73401,32.65,3.14159,7.0,1.35
23.63401,32.65,3.14159,7.0,1.35
23.53401,32.65,3.14159,7.0,1.35
23.43401,32.65,3.14159,7.0,1.35
23.33401,32.65,3.14159,7.0,1.35
23.23401,32.65,3.14159,7.0,1.35
23.13401,32.65,3.14159,7.0,1.35
23.03401,32.65,3.14159,7.0,1.35
22.93401,32.65,3.14159,7.0,1.35
22.83401,32.65,3.14159,7.0,1.35
22.73401,32.65,3.14159,7.0,1.35
22.63401,32.65,3.14159,7.0,1.35
22.53401,32.65,3.14159,7.0,1.35
22.43401,32.65,3.14159,7.0,1.35
22.33401,32.65,3.14159,7.0,1.35
22.23401,32.65,3.14159,7.0,1.35
22.13401,32.65,3.14159,7.0,1.35
22.03401,32.65,3.14159,7.0,1.35
21.93401,32.65,3.14159,7.0,1.35
21.83401,32.65,3.14159,7.0,1.35
21.73401,32.65,3.14159,7.0,1.35
21.63401,32.65,3.14159,7.0,1.35
21.53401,32.65,3.14159,7.0,1.35
21.43401,32.65,3.14159,7.0,1.35
21.33401,32.65,3.14159,7.0,1.35
21.23401,32.65,3.14159,7.0,1.35
21.13401,32.65,3.14159,7.0,1.35
21.03401,32.65,3.14159,7.0,1.35
20.93401,32.65,3.14159,7.0,1.35
20.83401,32.65,3.14159,7.0,1.35
20.73401,32.65,3.14159,7.0,1.35
20.63401,32.65,3.14159,7.0,1.35
20.53401,32.65,3.14159,7.0,1.35
20.43401,32.65,3.14159,7.0,1.35
20.33401,32.65,3.14159,7.0,1.35
20.23401,32.65,3.14159,7.0,1.35
20.13401,32.65,3.14159,7.0,1.35
20.03401,32.65,3.14159,7.0,1.35
19.93401,32.65,3.14159,7.0,1.35
19.83401,32.65,3.14159,7.0,1.35
19.73401,32.65,3.14159,7.0,1.35
19.63401,32.65,3.14159,7.0,1.35
19.53401,32.65,3.14159,7.0,1.35
19.43401,32.65,3.14159,7.0,1.35
19.33401,32.65,3.14159,7.0,1.35
19.23401,32.65,3.14159,7.0,1.35
19.13401,32.65,3.14159,7.0,1.35
19.03401,32.65,3.14159,7.0,1.35
18.93401,32.65,3.14159,7.0,1.35
18.83401,32.65,3.14159,7.0,1.35
18.73401,32.65,3.14159,7.0,1.35
18.63401,32.65,3.14159,7.0,1.35
18.53401,32.65,3.14159,7.0,1.35
18.43401,32.65,3.14159,7.0,1.35
18.33401,32.65,3.14159,7.0,1.35
18.23401,32.65,3.14159,7.0,1.35
18.13401,32.65,3.14159,7.0,1.35
18.03401,32.65,3.14159,7.0,1.35
17.93401,32.65,3.14159,7.0,1.35
17.83401,32.65,3.14159,7.0,1.35
17.73401,32.65,3.14159,7.0,1.35
17.63401,32.65,3.14159,7.0,1.35
17.53401,32.65,3.14159,7.0,1.35
17.43401,32.65,3.14159,7.0,1.35
17.33401,32.65,3.14159,7.0,1.35
17.23401,32.65,3.14159,7.0,1.35
17.13401,32.65,3.14159,7.0,1.35
17.03401,32.65,3.14159,7.0,1.35
16.93401,32.65,3.14159,7.0,1.35
16.83401,32.65,3.14159,7.0,1.35
16.73401,32.65,3.14159,7.0,1.35
16.63401,32.65,3.14159,7.0,1.35
16.53401,32.65,3.14159,7.0,1.35
16.43401,32.65,3.14159,7.0,1.35
16.33401,32.65,3.14159,7.0,1.35
16.23401,32.65,3.14159,7.0,1.35
16.13401,32.65,3.14159,7.0,1.35
16.03401,32.65,3.14159,7.0,1.35
15.93401,32.65,3.14159,7.0,1.35
15.83401,32.65,3.14159,7.0,1.35
15.73401,32.65,3.14159,7.0,1.35
15.63401,32.65,3.14159,7.0,1.35
15.53401,32.65,3.14159,7.0,1.35
15.43401,32.65,3.14159,7.0,1.35
15.33401,32.65,3.14159,7.0,1.35
15.23401,32.65,3.14159,7.0,1.35
15.13401,32.65,3.14159,7.0,1.35
15.03401,32.65,3.14159,7.0,1.35
14.93401,32.65,3.14159,7.0,1.35
14.83401,32.65,3.14159,7.0,1.35
14.73401,32.65,3.14159,7.0,1.35
14.63401,32.65,3.14159,7.0,1.35
14.53401,32.65,3.14159,7.0,1.35
14.43401,32.65,3.14159,7.0,1.35
14.33401,32.65,3.14159,7.0,1.35
14.23401,32.65,3.14159,7.0,1.35
14.13401,32.65,3.14159,7.0,1.35
14.03401,32.65,3.14159,7.0,1.35
13.93401,32.65,3.14159,7.0,1.35
13.83401,32.65,3.14159,7.0,1.35
13.73401,32.65,3.14159,7.0,1.35
13.63401,32.65,3.14159,7.0,1.35
13.53401,32.65,3.14159,7.0,1.35
13.43401,32.65,3.14159,7.0,1.35
13.33401,32.65,3.14159,7.0,1.35
13.23401,32.65,3.14159,7.0,1.35
13.13401,32.65,3.14159,7.0,1.35
13.03401,32.65,3.14159,7.0,1.35
12.93401,32.65,3.14159,7.0,1.35
12.83401,32.65,3.14159,7.0,1.35
12.73401,32.65,3.14159,7.0,1.35
12.63401,32.65,3.14159,7.0,1.35
12.53401,32.65,3.14159,7.0,1.35
12.43401,32.65,3.14159,7.0,1.35
12.33401,32.65,3.14159,7.0,1.35
12.23401,32.65,3.14159,7.0,1.35
12.13401,32.65,3.14159,7.0,1.35
12.03401,32.65,3.14159,7.0,1.35
11.93401,32.65,3.14159,7.0,1.35
11.83401,32.65,3.14159,7.0,1.35
11.73401,32.65,3.14159,7.0,1.35
11.63401,32.65,3.14159,7.0,1.35
11.53401,32.65,3.14159,7.0,1.35
11.43401,32.65,3.14159,7.0,1.35
11.33401,32.65,3.14159,7.0,1.35
11.23401,32.65,3.14159,7.0,1.35
11.13401,32.65,3.14159,6.99998,1.35
11.03401,32.65,3.14159,7.0001,1.35
10.93401,32.65,3.14159,6.99969,1.35
10.83401,32.65,3.14159,7.00007,1.35
10.73401,32.65,3.14159,6.97722,1.35
10.63401,32.65,3.14159,6.94843,1.35
10.53401,32.65,3.14159,6.91962,1.35
10.43401,32.65,3.14159,6.89063,1.35
10.33401,32.65,3.14159,6.86157,1.35
10.23401,32.65,3.14159,6.83235,1.35
10.13401,32.65,3.14159,6.80301,1.35
10.03401,32.65,3.14159,6.77356,1.35
9.93401,32.65,3.14159,6.74395,1.35
9.83401,32.65,3.14159,6.71424,1.35
9.73401,32.65,3.14159,6.68438,1.35
9.63401,32.65,3.14159,6.65439,1.35
9.53401,32.65,3.14159,6.62428,1.35
9.43401,32.65,3.14159,6.59401,1.35
9.33401,32.65,3.14159,6.56361,1.35
9.23401,32.65,3.14159,6.53307,1.35
9.13401,32.65,3.14159,6.50238,1.35
9.03401,32.65,3.14159,6.47155,1.35
8.93401,32.65,3.14159,6.44057,1.35
8.83401,32.65,3.14159,6.40944,1.35
8.73401,32.65,3.14159,6.37817,1.35
8.63401,32.65,3.14159,6.34673,1.35
8.53401,32.65,3.14159,6.31514,1.35
8.43401,32.65,3.14159,6.28339,1.35
8.33401,32.65,3.14159,6.25148,1.35
8.23401,32.65,3.14159,6.2194,1.35
8.13401,32.65,3.14159,6.18716,1.35
8.03401,32.65,3.14159,6.15475,1.35
7.93401,32.65,3.14159,6.12217,1.35
7.83401,32.65,3.14159,6.08941,1.35
7.73401,32.65,3.14159,6.05648,1.35
7.63401,32.65,3.14159,6.02337,1.35
7.53401,32.65,3.14159,5.99008,1.35
7.43401,32.65,3.14159,5.95658,1.35
7.33401,32.65,3.14159,5.92292,1.35
7.23401,32.65,3.14159,5.88905,1.35
7.13401,32.65,3.14159,5.85499,1.35
7.03401,32.65,3.14159,5.82074,1.35
6.93401,32.65,3.14159,5.78627,1.35
6.83401,32.65,3.14159,5.7516,1.35
6.73401,32.65,3.14159,5.71673,1.35
6.63401,32.65,3.14159,5.68164,1.35
6.53401,32.65,3.14159,5.64632,1.35
6.43401,32.65,3.14159,5.61079,1.35
6.33401,32.65,3.14159,5.57503,1.35
6.23401,32.65,3.14159,5.53904,1.35
6.13401,32.65,3.14159,5.50281,1.35
6.03401,32.65,3.14159,5.46635,1.35
5.93401,32.65,3.14159,5.42964,1.35
5.83401,32.65,3.14159,5.39268,1.35
5.73401,32.65,-3.14159,5.35546,1.35
5.63401,32.65,3.14159,5.31798,1.35
5.53401,32.65,-3.14159,5.28024,1.35
5.43401,32.65,3.14159,5.24223,1.35
5.33401,32.65,3.14159,5.20394,1.35
5.23401,32.65,-3.14159,5.16536,1.35
5.13401,32.65,3.14159,5.12649,1.35
5.03401,32.65,-3.14159,5.08733,1.35
4.93401,32.65,3.14159,5.04787,1.35
4.83401,32.65,3.14159,5.00809,1.35
4.73401,32.65,-3.14159,4.96799,1.35
4.63401,32.65,3.14158,4.92757,1.35
4.53401,32.65,-3.14156,4.88681,1.35
4.43401,32.65,3.14156,4.84571,1.35
4.33401,32.65,-3.14051,4.80427,1.35
4.23401,32.64989,3.14151,4.76246,1.35
4.13401,32.6499,3.14149,4.72027,1.35
4.03401,32.64991,-3.14064,4.67771,1.35
3.93401,32.64982,-3.14144,4.63476,1.35
3.83401,32.6498,-3.14037,4.5914,1.35
3.73401,32.64968,-3.1404,4.54764,1.35
3.63401,32.64956,-3.14049,4.50344,1.35
3.53401,32.64945,-3.13952,4.45881,1.35
3.43401,32.64924,-3.13917,4.41373,1.35
3.33401,32.649,-3.13782,4.36817,1.35
3.23401,32.64862,-3.13675,4.32214,1.35
3.13401,32.64814,-3.13636,4.27562,1.35
3.03401,32.64761,-3.13377,4.22859,1.35
2.93401,32.64683,-3.13198,4.18102,1.35
2.83402,32.64587,-3.12913,4.13291,1.35
2.73402,32.64462,-3.12626,4.08423,1.35
2.63404,32.64309,-3.12257,4.03497,1.35
2.53405,32.64119,-3.11803,3.98509,1.35
2.43408,32.63883,-3.11221,3.93458,1.35
2.33413,32.63589,-3.10459,3.88342,1.35
2.23419,32.63219,-3.09705,3.83158,1.34999
2.13429,32.62774,-3.08758,3.77902,1.35003
2.03444,32.62234,-3.0752,3.72572,1.34992
1.93466,32.61571,-3.06224,3.67164,1.34987
1.83498,32.60778,-3.0471,3.61676,1.35328
1.73542,32.59835,-3.02981,3.56104,1.32166
1.63605,32.58719,-3.00876,3.50442,1.29851
1.53693,32.57395,-2.9861,3.44688,1.30097
1.43814,32.55846,-2.95925,3.38835,1.30021
1.33979,32.54033,-2.9311,3.32881,1.28209
1.242,32.51943,-2.89798,3.26817,1.3078
1.14496,32.49531,-2.86417,3.2064,1.3123
1.04878,32.46793,-2.82489,3.14339,1.29418
0.95376,32.43678,-2.78479,3.07912,1.27868
0.86006,32.40186,-2.74202,3.01347,1.30952
0.76794,32.36296,-2.69587,2.94668,1.30439
0.67771,32.31985,-2.64927,2.89639,1.34412
0.58959,32.27258,-2.60222,2.86341,1.37091
0.50379,32.22122,-2.55297,2.84224,1.36757
0.42063,32.16571,-2.50505,2.83952,1.39034
0.34021,32.10627,-2.45579,2.84229,1.4415
0.26283,32.04294,-2.408,2.86143,1.45233
0.18855,31.97599,-2.36064,2.88366,1.46633
0.11753,31.90559,-2.31518,2.91567,1.46079
0.04978,31.83205,-2.26954,2.95215,1.40341
-0.01454,31.75548,-2.22539,2.98935,1.39949
-0.07542,31.67616,-2.18338,3.03319,1.40264
-0.13292,31.59434,-2.14136,3.07106,1.36914
-0.18693,31.51018,-2.10104,3.11416,1.37402
-0.2375,31.42392,-2.06151,3.15078,1.37161
-0.28463,31.33572,-2.02277,3.18548,1.33579
-0.3283,31.24576,-1.98517,3.21802,1.30851
-0.36856,31.15423,-1.94741,3.24073,1.31243
-0.40534,31.06124,-1.91085,3.26481,1.3189
-0.43869,30.96697,-1.87421,3.27779,1.3216
-0.46857,30.87154,-1.83796,3.29002,1.35839
-0.49497,30.77509,-1.80186,3.29744,1.34325
-0.51787,30.67775,-1.76576,3.29847,1.37892
-0.53724,30.57964,-1.72985,3.30305,1.34536
-0.55308,30.48091,-1.69384,3.30003,1.39536
-0.56535,30.38166,-1.6578,3.30316,1.39923
-0.57404,30.28204,-1.62189,3.30489,1.40039
-0.57915,30.18218,-1.58603,3.30785,1.39991
-0.58067,30.08219,-1.55043,3.31807,1.40003
-0.57864,29.98221,-1.51487,3.32472,1.40002
-0.57305,29.88237,-1.47976,3.34101,1.39925
-0.56396,29.78279,-1.44487,3.35511,1.40495
-0.5514,29.68358,-1.41032,3.37125,1.3627
