# x, y, speed_mps, dist_to_wall
-69.2397,44.8027,7,1.05487
-69.1784,44.7316,7,1.05487
-69.1171,44.6604,7,1.10106
-69.0558,44.5892,7,1.10106
-68.9944,44.518,7,1.10106
-68.9331,44.4468,7,1.10106
-68.8717,44.3755,7,1.10106
-68.8103,44.3042,7,1.10106
-68.7489,44.2329,7,1.10106
-68.6875,44.1615,7,1.10106
-68.6261,44.0902,7,1.10106
-68.5647,44.0188,7,1.10106
-68.5033,43.9473,7,1.10106
-68.4419,43.8759,7,1.10106
-68.3806,43.8044,7,1.10106
-68.3192,43.7329,7,1.05487
-68.2578,43.6614,7,1.05487
-68.1964,43.5899,7,1.05487
-68.1351,43.5183,7,1.05487
-68.0737,43.4467,7,1.01991
-68.0124,43.3751,7,1.01991
-67.951,43.3035,7,1.01991
-67.8897,43.2318,7,1.01991
-67.8284,43.1602,7,1.01991
-67.7672,43.0885,7,0.973724
-67.7059,43.0168,7,0.973724
-67.6447,42.9451,7,0.973724
-67.5835,42.8733,7,0.984957
-67.5223,42.8016,7,1.00742
-67.4612,42.7298,7,1.01866
-67.4001,42.658,7,1.01991
-67.339,42.5862,7,1.01991
-67.2779,42.5144,7,0.973724
-67.2169,42.4425,7,0.973724
-67.156,42.3707,7,0.973724
-67.095,42.2988,7,0.973724
-67.0341,42.2269,7,0.938769
-66.9733,42.1551,7,0.938769
-66.9125,42.0831,7,0.938769
-66.8517,42.0112,7,0.938769
-66.791,41.9393,7,0.89258
-66.7303,41.8673,7,0.89258
-66.6697,41.7954,7,0.89258
-66.6091,41.7234,7,0.89258
-66.5486,41.6514,7,0.857625
-66.4881,41.5794,7,0.857625
-66.4277,41.5074,7,0.857625
-66.3674,41.4354,7,0.857625
-66.3071,41.3634,7,0.811436
-66.2469,41.2913,7,0.857625
-66.1867,41.2193,7,0.857625
-66.1266,41.1472,7,0.857625
-66.0666,41.0751,7,0.857625
-66.0066,41.003,7,0.811436
-65.9467,40.9309,7,0.811436
-65.8869,40.8588,7,0.811436
-65.8272,40.7867,7,0.811436
-65.7675,40.7146,7,0.776481
-65.7079,40.6425,7,0.787715
-65.6484,40.5704,7,0.798949
-65.589,40.4982,7,0.811436
-65.5296,40.4261,7,0.776481
-65.4703,40.3539,7,0.776481
-65.4111,40.2817,7,0.776481
-65.352,40.2095,7,0.776481
-65.293,40.1374,7,0.730293
-65.2341,40.0652,7,0.730293
-65.1752,39.993,7,0.730293
-65.1165,39.9208,7,0.730293
-65.0578,39.8486,7,0.695338
-64.9992,39.7763,7,0.695338
-64.9407,39.7041,7,0.695338
-64.8824,39.6319,7,0.695338
-64.8241,39.5597,7,0.649149
-64.7659,39.4874,7,0.649149
-64.7078,39.4152,7,0.649149
-64.6498,39.3429,7,0.649149
-64.592,39.2707,7,0.614194
-64.5342,39.1984,7,0.614194
-64.4765,39.1261,7,0.614194
-64.419,39.0539,7,0.614194
-64.3615,38.9816,7,0.579239
-64.3041,38.9093,7,0.590473
-64.2469,38.837,7,0.614194
-64.1898,38.7647,7,0.614194
-64.1328,38.6924,7,0.568006
-64.0759,38.6201,7,0.568006
-64.0191,38.5478,7,0.568006
-63.9624,38.4755,7,0.568006
-63.9059,38.4032,7,0.533051
-63.8494,38.3309,7,0.533051
-63.7931,38.2586,7,0.533051
-63.7369,38.1862,7,0.544284
-63.6808,38.1139,7,0.533051
-63.6249,38.0416,7,0.533051
-63.569,37.9692,7,0.533051
-63.5133,37.8969,7,0.533051
-63.4577,37.8246,7,0.486862
-63.4023,37.7522,7,0.498096
-63.3469,37.6799,7,0.509329
-63.2917,37.6075,7,0.533051
-63.2367,37.5352,7,0.451907
-63.1817,37.4628,7,0.451907
-63.1269,37.3904,7,0.451907
-63.0722,37.3181,7,0.463141
-63.0176,37.2457,7,0.451907
-62.9632,37.1733,7,0.451907
-62.9089,37.101,7,0.451907
-62.8547,37.0286,7,0.451907
-62.8007,36.9562,7,0.439957
-62.7468,36.8839,7,0.451907
-62.6931,36.8115,7,0.451907
-62.6394,36.7391,7,0.463141
-62.5859,36.6667,7,0.451907
-62.5326,36.5943,7,0.451907
-62.4794,36.5219,7,0.463141
-62.4263,36.4495,7,0.439957
-62.3733,36.3772,7,0.405718
