W_TIME,W_DIST,W_SAFE,W_COMF,W_LAT,W_ACC,mean_J_final,min_J_final,mean_T_lap,min_T_lap,runs,success_ratio,crash_or_stuck_runs,min_min_d,mean_unsafe_ratio,max_a_lat,mean_planner_time_ratio_fgm,min_fgm_min_d,mean_fgm_track_rms,mean_avoid_fgm_time_ratio,mean_avoid_fgm_dist_ratio,max_max_speed
2.01,2.7,0.79,1.36,2.39,0.55,78.23,78.23,78.23,78.23,1,1.0,0,0.0,0.18606196952653645,9.41006,1.0000511325867976,0.0,0.32518225760414327,,,
2.41,2.78,0.82,1.66,2.55,0.56,78.26,78.26,78.26,78.26,1,1.0,0,0.0,0.2003475416538894,9.16238,1.0000511116790185,0.0,0.33036658015128695,,,
2.42,2.83,0.83,1.68,2.58,0.58,78.35,78.35,78.35,78.35,1,1.0,0,0.0,0.1925570473224769,8.81525,1.000051051664284,0.0,0.3221329165908226,,,
1.31,1.7,2.94,0.88,1.41,0.44,78.39,78.39,78.39,78.39,1,1.0,0,0.0,0.15465074748711669,18.5729,1.0000510256148587,0.0,0.34199325809971187,,,
2.19,2.66,1.19,1.58,2.36,0.53,78.39,78.39,78.39,78.39,1,1.0,0,0.0,0.2119495892647584,9.52149,1.0000510256148587,0.0,0.32265249413085206,,,
1.63,1.3,1.6,0.93,1.24,0.37,78.47,78.47,78.47,78.47,1,1.0,0,0.0,0.1877867264756856,9.16582,1.0000509761941174,0.0,0.32993277274758537,,,
2.27,2.65,1.23,1.61,2.34,0.52,78.52,78.52,78.52,78.52,1,1.0,0,0.0,0.13988080077428558,17.797,1.000050942435048,0.0,0.3297972447416358,,,
1.53,1.8,2.73,0.88,1.45,0.46,78.54,78.54,78.54,78.54,1,1.0,0,0.0,0.19683234874719902,9.0068,1.0000509294626938,0.0,0.32638362620877215,,,
1.47,0.48,1.64,0.91,1.2,0.42,78.6,78.6,78.6,78.6,1,1.0,0,0.0,0.19754719861584652,20.3572,1.0000508905852417,0.0,0.33374691486375085,,,
2.58,2.9,0.89,1.75,2.66,0.58,78.61,78.61,78.61,78.61,1,1.0,0,0.0,0.19600061059380247,9.59274,1.0000508854060657,0.0,0.3302331414107342,,,
1.77,2.48,0.72,1.17,2.2,0.5,78.66,78.66,78.66,78.66,1,1.0,0,0.0,0.19714227600935624,9.6948,1.000050851767099,0.0,0.3285527490169518,,,
2.13,3.14,0.89,1.77,2.79,0.59,78.73,78.73,78.73,78.73,1,1.0,0,0.0,0.18543921150231163,9.37776,1.000050807844731,0.0,0.33193485793083466,,,
1.52,1.34,2.33,0.8,1.22,0.37,78.85,78.85,78.85,78.85,1,1.0,0,0.0,0.12265395150654357,17.7621,1.0000507279460256,0.0,0.3306014302714835,,,
1.96,2.87,0.71,1.49,2.63,0.57,78.86,78.86,78.86,78.86,1,1.0,0,0.0,0.21348143639683506,9.58683,1.0000507227998985,0.0,0.3274842797021078,,,
2.11,2.6,0.83,1.43,2.29,0.53,79.06,79.06,79.06,79.06,1,1.0,0,0.0,0.20084994434888193,9.07767,1.000050594485201,0.0,0.3207217765604856,,,
2.33,2.71,1.36,1.57,2.44,0.55,79.48,79.48,79.48,79.48,1,1.0,0,0.0,0.19581299381007497,9.40111,1.0000503271263215,0.0,0.3256690906047789,,,
2.22,2.44,1.54,1.33,2.17,0.47,81.37,81.37,81.37,81.37,1,1.0,0,0.0,0.19150046987574396,9.19672,1.0000522111418575,0.0,0.3174393021890687,,,
1.45,1.84,2.13,0.91,1.47,0.44,91.17,91.17,91.17,91.17,1,1.0,0,0.0,0.2637237263592084,6.58056,1.0000438827453046,0.0,0.2617799624192283,,,
1.08,1.41,2.98,0.79,1.2,0.4,103.4236752374402,103.4236752374402,,,1,0.0,0,0.0,0.4584070033205399,4.44258,1.0000431257547007,0.0,0.2799160330266061,,,
1.1881,1.5983,1.1381,1.4511,1.595,0.1877,150.0,150.0,,,1,0.0,0,,,,,,,,,
1.559,2.5774,0.7979,0.9723,2.9099,0.2722,150.18965946175348,150.18965946175348,,,1,0.0,True,0.0,0.0227991565629942,19.7355,1.000131804402267,0.0,0.2862038641276559,,,
1.74,1.53,1.88,1.03,1.33,0.42,155.38919702047326,155.38919702047326,,,1,0.0,True,0.0,0.2765151515151515,2.6166,1.0012642225031605,0.0,2.0197374361448586,,,
1.0509,2.9842,0.8861,1.1419,2.7173,0.2586,159.1048249015849,159.1048249015849,,,1,0.0,True,0.0,0.085008085008085,14.2614,1.000231053604436,0.0,0.2919951380312279,,,
1.2881,2.991,0.3983,1.0924,2.3659,0.2417,159.12531280640394,159.12531280640394,,,1,0.0,True,0.0,0.07973886686873397,13.8821,1.0002332089552235,0.0,0.31263910967004155,,,
2.32,2.74,0.82,1.64,2.52,0.54,161.00873662798355,161.00873662798355,,,1,0.0,True,0.0,0.3776513191929643,3.15288,1.0002587322121606,0.0,0.25699533154324977,,,
2.3484,1.343,1.1052,1.1856,1.7559,0.185,166.3487626768911,166.3487626768911,,,1,0.0,True,0.39255,0.04047277936962751,2.58054,1.0003582945180938,0.0,0.463993840904864,,,
2.66,2.59,1.41,1.7,2.3,0.51,166.9575461343714,166.9575461343714,,,1,0.0,True,0.0,0.22802704363859866,2.26292,1.0006150061500614,0.0,0.35320627734371995,,,
